第1学期,,,,,,
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修
2,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修
3,A1110030,线性代数A,3,48 | 0 | 0 | 0,理学院,必修
4,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,必修
5,A1050030,大学英语1,4,64 | 0 | 0 | 0,外国语学院,必修
6,A1040040,C语言程序设计,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
7,A2011270,程序设计训练,1.5,0 | 0 | 1.5周 | 0,通信与信息工程学院,必修
8,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
第2学期,,,,,,
1,A2110670,大学物理实验A(上),1,0 | 16 | 0 | 0,理学院,必修
2,A1110020,高等数学A(下),5.5,88 | 0 | 0 | 0,理学院,必修
3,A1090020,大学体育2,1,32 | 0 | 0 | 0,体育学院,必修
4,A1050050,大学英语3,4,64 | 0 | 0 | 0,外国语学院,必修
5,A1040080,数据结构,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修
6,A1110290,大学物理A（上）,3,48 | 0 | 0 | 0,理学院,必修
7,A2020390,数字与逻辑电路基础,3,48 | 0 | 0 | 0,光电工程学院,必修
8,A2021060,数字电路与逻辑设计实验A,2,0 | 32 | 0 | 0,光电工程学院,必修
9,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
10,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修
第3学期,,,,,,
1,A1110300,大学物理A（下）,3,48 | 0 | 0 | 0,理学院,必修
2,A2110680,大学物理实验A(下),1,0 | 16 | 0 | 0,理学院,必修
3,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
4,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
5,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
6,A1050100,中国文化传播,2,32 | 0 | 0 | 0,外国语学院,选修
7,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,选修
8,A1050120,国际职场文化,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050130,跨文化沟通,2,32 | 0 | 0 | 0,外国语学院,选修
10,A1050140,商务交际英语,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050150,科技英语,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,必修
2,A1110230,复变函数,2,32 | 0 | 0 | 0,理学院,必修
3,A2010451,微处理器系统结构与嵌入式系统设计(1),3.5,24 | 32 | 0 | 0,通信与信息工程学院,必修
4,A2010570,信息论基础,2,32 | 0 | 0 | 0,通信与信息工程学院,必修
5,A2020351,电路分析基础D,3,40 | 8 | 0 | 0,光电工程学院,必修
6,A2140010,金工实习B,1,0 | 0 | 1.0周 | 0,先进制造工程学院,必修
7,A2140081,工程图学与计算机绘图B,2,32 | 0 | 0 | 0,先进制造工程学院,必修
1,A1110130,随机数学（含概率论、数理统计、随机过程）,3.5,56 | 0 | 0 | 0,理学院,必修
2,A1110190,离散数学A,4,64 | 0 | 0 | 0,理学院,必修
3,A2010560,信号与系统B,4,64 | 0 | 0 | 0,通信与信息工程学院,必修
4,A2010770,通信软件基础B,2,16 | 16 | 0 | 0,通信与信息工程学院,必修
1,A1110140,概率论与数理统计,3,48 | 0 | 0 | 0,理学院,必修
2,A2010451,微处理器系统结构与嵌入式系统设计(1),3.5,24 | 32 | 0 | 0,通信与信息工程学院,必修
3,A2010100,电子系统综合设计实训(1),1,0 | 16 | 0 | 0,通信与信息工程学院,必修
4,A2010770,通信软件基础B,2,16 | 16 | 0 | 0,通信与信息工程学院,必修
5,A2110650,复变函数与特殊函数,3,48 | 0 | 0 | 0,理学院,必修
6,A2020800,电路实验,1,0 | 16 | 0 | 0,光电工程学院,必修
7,A2020353,电路分析基础C,3,48 | 0 | 0 | 0,光电工程学院,必修
第4学期,,,,,,
1,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修
2,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
3,A1050200,法语1,2,32 | 0 | 0 | 0,外国语学院,选修
4,A1050180,德语1,2,32 | 0 | 0 | 0,外国语学院,选修
5,A1050160,日语1,2,32 | 0 | 0 | 0,外国语学院,选修
6,A1050060,综合英语,4,64 | 0 | 0 | 0,外国语学院,选修
7,A1050080,高级口语,2,32 | 0 | 0 | 0,外国语学院,选修
8,A1050090,影视英语与文化,2,32 | 0 | 0 | 0,外国语学院,选修
